Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,6/22/2021,0.182566784,0.280558946,0.281299273,0.181589873
DOGE,6/23/2021,0.189036985,0.178709039,0.216829156,0.165967914
DOGE,6/24/2021,0.235911234,0.190876644,0.248558637,0.180684391
DOGE,6/25/2021,0.26246999,0.234843968,0.269211245,0.222172259
DOGE,6/26/2021,0.23681266,0.263757614,0.288008231,0.228980683
DOGE,6/27/2021,0.241428143,0.237592751,0.255353777,0.23091226
DOGE,6/28/2021,0.252231335,0.245768146,0.254175286,0.240506765
DOGE,6/29/2021,0.256938202,0.264607515,0.267103533,0.250573058
DOGE,6/30/2021,0.263863838,0.257075024,0.275649909,0.252584736
DOGE,7/1/2021,0.251818341,0.263453202,0.26383052,0.237873597
DOGE,7/2/2021,0.246855847,0.253901691,0.260639328,0.238230741
DOGE,7/3/2021,0.243435695,0.243854281,0.248739429,0.238577599
DOGE,7/4/2021,0.244377939,0.245030358,0.250286049,0.242304964
DOGE,7/5/2021,0.248881002,0.246274009,0.25280868,0.243285417
DOGE,7/6/2021,0.234833562,0.246323906,0.24632424,0.227047921
DOGE,7/7/2021,0.233075306,0.231081939,0.241593491,0.229376419
DOGE,7/8/2021,0.22986248,0.234054285,0.238455403,0.228526806
DOGE,7/9/2021,0.203562644,0.223882356,0.224739877,0.202607926
DOGE,7/10/2021,0.220062776,0.206910703,0.229504551,0.195418811
DOGE,7/11/2021,0.213090088,0.219621736,0.227688132,0.209737443
DOGE,7/12/2021,0.216847051,0.213686002,0.218950592,0.210623265
DOGE,7/13/2021,0.208342739,0.215844304,0.218377765,0.204122915
DOGE,7/14/2021,0.199194194,0.207583821,0.20867728,0.197479954
DOGE,7/15/2021,0.199145889,0.19983248,0.204678378,0.187461294
DOGE,7/16/2021,0.186358328,0.197621637,0.200744712,0.180980899
DOGE,7/17/2021,0.174019733,0.185184309,0.188244816,0.173926911
DOGE,7/18/2021,0.187266297,0.172020581,0.207317146,0.169018265
DOGE,7/19/2021,0.182076074,0.187437555,0.195922252,0.181016489
